FIPS,COUNTY,Delete,REGION
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
48441,Taylor County,48441,Abilene
